project_code,project_name,sector,approval_date,original_cost,original_doc,anticipated_cost,anticipated_doc,expenditure,event,report_month
,1 CONSTRUCTION NIT CALICUT,,2010-01,165.23,2012-10,165.23,2012-10,135.78,completed,2024-05
,2 RUF PITCH LOADING EPC,PETROLEUM,2020-10,332.61,2022-11,332.61,2024-04,356.61,completed,2024-05
,3 CGD PROJECT,PETROLEUM,2018-10,177.0,2027-02,177.0,2028-09,109.76,completed,2024-05
,4 CGD PROJECT DISTRICT,PETROLEUM,2018-10,2998.0,2030-03,2998.0,2030-03,326.22,completed,2024-05
,5 CGD PROJECT AND RAMGARH,PETROLEUM,2018-10,613.0,2029-12,613.0,2030-03,226.62,completed,2024-05
,6 CGD PROJECT AND ROHTAS,PETROLEUM,2018-10,176.0,2027-08,176.0,2029-02,132.81,completed,2024-05
,7 CGD PROJECT,PETROLEUM,2018-10,1304.0,2030-03,1304.0,2030-03,107.78,completed,2024-05
,8 CGD PROJECT KATIHAR AND,PETROLEUM,2019-06,988.0,2030-03,988.0,,93.56,completed,2024-05
,9 SETTING UP FOR PRODUCING,PETROLEUM,2021-09,10.0,2023-11,231.0,2024-06,105.6,completed,2024-05
,10 CGD PROJECT AND DEOGHAR,PETROLEUM,2019-06,303.0,2028-02,303.0,2029-08,195.24,completed,2024-05
,"11 CGD PROJECT VAISHALI, SARAN DISTRICTS",PETROLEUM,2019-06,2996.0,2028-02,2996.0,2029-08,572.3,completed,2024-05
,12 CGD PROJECT AND BHAGALPUR,PETROLEUM,2019-06,347.0,2028-02,347.0,2029-08,156.74,completed,2024-05
,13 CGD PROJECT BHOJPUR AND,PETROLEUM,2019-06,439.0,2028-02,439.0,2029-08,221.42,completed,2024-05
,14 CGD PROJECT VISAKHAPATNAM DISTRICTS,PETROLEUM,2019-06,2880.0,2027-08,2880.0,2030-03,236.74,completed,2024-05
,15 CHATTI BARIATU,POWER,2015-03,1314.0,2024-04,1783.0,2024-04,1012.94,completed,2024-05
,16 VIRAR SURAT LIEU OF LEVEL 52 55 102 106,RAILWAYS,2012-03,217.38,2024-03,393.62,,137.0,completed,2024-05
,17 VIRAR SURAT LIEU OF LEVEL 68 69 71 74 75,RAILWAYS,2012-03,248.26,2024-03,528.49,,82.0,completed,2024-05
,18 CONSTRUCTION HARD SHOULDERS TAMLU-MON 41.065 TO,ROAD TRANSPORT AND HIGHWAYS,2018-03,272.89,2022-10,272.89,2023-10,137.63,completed,2024-05
,19 CONSTRUCTION BETWEEN DWARKA AND ITS APPROACHES GU EPC,ROAD TRANSPORT AND HIGHWAYS,2017-08,962.43,2020-09,978.93,2024-05,892.54,completed,2024-05
,20 UP GRADATION NH 341 TO TWO SHOULDER KM. 65.4,ROAD TRANSPORT AND HIGHWAYS,2018-03,351.0,2021-06,270.0,2023-07,220.88,completed,2024-05
,21 2 LANING OF SECTION (PACKAGE EPC,ROAD TRANSPORT AND HIGHWAYS,2020-03,330.78,2021-12,330.78,2023-03,204.26,completed,2024-05
,22 6L KORLAM-KANTAKAPALLE OF NH-130CD KM 445.100 (PKG-3) (Hybrid Annuity),ROAD TRANSPORT AND HIGHWAYS,2021-02,772.7,2024-02,980.51,2024-02,421.1,completed,2024-05
,23 4L OF DHROL-BHADRA-PATIYA FROM 0.000 PATIYA PIPALIYA HAM(Hybrid Annuity,ROAD TRANSPORT AND HIGHWAYS,2020-05,971.03,2023-10,971.03,2024-06,13.6,completed,2024-05
,24 CONSTRUCTION CARRIAGEWAY GURUGRAM VILLAGE A,ROAD TRANSPORT AND HIGHWAYS,2018-11,2312.26,2021-09,2312.26,2024-05,4.0,completed,2024-05
,25 4-LANING OF EPC,ROAD TRANSPORT AND HIGHWAYS,2020-03,287.63,2022-06,287.63,2024-03,405.95,completed,2024-05
,26 BALANCE WORK AND UPGRADATION SECTION OF KM.,ROAD TRANSPORT AND HIGHWAYS,2017-11,392.33,2018-03,470.72,2024-01,155.0,completed,2024-05
,27 DEVELOPMENT GANDHINAGAR NH 8C FROM STATE EPC,ROAD TRANSPORT AND HIGHWAYS,2017-12,867.97,2020-11,913.49,2024-06,147.0,completed,2024-05
,28 SIX LANING JHARKHAND SECTION,ROAD TRANSPORT AND HIGHWAYS,2018-01,895.39,2024-04,895.39,2024-12,1632.71,completed,2024-05
,29 4 LANNING OF KERALA/ TAMIL KM 26.500 TO,ROAD TRANSPORT AND HIGHWAYS,2016-04,804.97,2018-06,571.45,2024-05,43.0,completed,2024-05
,30 JUNAGADH,ROAD TRANSPORT AND HIGHWAYS,2017-10,232.49,2021-04,375.58,2024-05,345.49,completed,2024-05
