project_code,project_name,sector,state,agency,approval_date,original_cost,revised_cost,anticipated_cost,expenditure,original_doc,revised_doc,anticipated_doc,physical_progress_pct,schedule_status,report_month
N24002209,10 PACKAGE-3B (NHIDCL),,,N.A.) (N.A.,2018-02,183.47,,183.47,,,,2025-11,0.0,ongoing_census,2025-03
N04000089,11 EXT AND STR. OF EXISTING RUNWAY 08/26 AT TIRUPATI AIRPORT,CIVIL AVIATION,Andhra Pradesh,AAI,2017-08,177.1,,177.1,143.08,2020-02,2021-12,2024-01,100.0,ongoing_census,2025-03
N04000091,12 C/O OF NITB AND ASSOCIATED WORK AT VIJAYAWADA AIRPORT,CIVIL AVIATION,Andhra Pradesh,AAI,,611.8,,611.8,426.46,2023-03,2025-06,2025-06,70.0,ongoing_census,2025-03
N04000103,13 RAJAHMUNDRY AIRPORT: CONSTRUCTION OF NEW DOMESTIC TERMINAL BUILDING AND MISCELLANEOUS WORKS INCLUD,CIVIL AVIATION,Andhra Pradesh,AAI,2022-12,347.15,347.15,347.15,67.86,2025-08,,2025-08,41.0,ongoing_census,2025-03
N04000106,14 KADAPPA AIRPORT- CONSTRUCTION OF NEW DOMESTIC TERMINAL BUILDING AND MISCELLANEOUS WORKS INCLUDING MA,CIVIL AVIATION,Andhra Pradesh,AAI,2023-03,265.91,,265.91,39.49,2026-01,,2026-01,25.0,ongoing_census,2025-03
N42000005,15 CONSTRUCTION OF PERMANENT CAMPUS FOR INDIAN INSTITUTE OF TECHNOLOGY TIRUPATI AT MERLAPAKA VILLAGE YE,DEPARTMENT OF HIGHER EDUCATION,Andhra Pradesh,CPWD EDUCATION,2019-02,655.34,,655.34,366.21,2020-06,,2020-06,95.0,ongoing_census,2025-03
N42000007,"16 CONSTRUCTION OF PERMANENT CAMPUS FOR IISER AT JANGALAPALLI VILLAGE, YERPEDU MANDAL, CHITTOOR DISTRIC",DEPARTMENT OF HIGHER EDUCATION,Andhra Pradesh,CPWD EDUCATION,2019-09,588.72,656.39,656.39,666.18,2022-09,,2024-06,100.0,ongoing_census,2025-03
N16000235,17 VISAKH REFINERY MODERNISATION PROJECT,PETROLEUM,Andhra Pradesh,HPCL,2016-07,20928.0,30609.0,30609.0,28002.0,2020-07,2024-10,2024-12,100.0,ongoing_census,2025-03
N16000247,18 KG-DWN-98-2 CLUSTER II DEVELOPMENT PROJECT,PETROLEUM,Andhra Pradesh,ONGC,2016-03,34012.0,,34012.0,32565.18,2020-06,2025-03,2025-06,96.1,ongoing_census,2025-03
N16000343,19 REVAMPING OF FACILITIES AT VIZAG TERMINAL,PETROLEUM,Andhra Pradesh,IOCL,,355.0,,355.0,249.36,2022-04,2025-03,2025-03,100.0,ongoing_census,2025-03
N16000378,20 SWRO II WITH LLPH FACILITIES (HPCL),PETROLEUM,Andhra Pradesh,N.A.,2019-09,196.26,196.26,196.26,196.26,,,2025-03,100.0,ongoing_census,2025-03
N16000432,21 HP CRUDE TO OLEFINS AND AROMATICS TECHNOLOGY DEMO UNIT AT VISAKH REFINERY,PETROLEUM,Andhra Pradesh,HPCL,2021-09,160.0,220.0,220.0,50.04,2024-06,2026-03,2026-03,54.9,ongoing_census,2025-03
N16000485,"22 CGD PROJECT AT KURNOOL, GUNTUR AND PRAKASAM DISTRICTS",PETROLEUM,Andhra Pradesh,IOCL,2022-03,1420.0,,1420.0,143.26,2030-03,,2030-03,6.1,ongoing_census,2025-03
N16000499,23 MULTI-PRODUCT PIPELINE FROM KRISHNAPATNAM COASTAL INSTALLATION TO THE PROPOSED INSTALLATION AT HYDER,PETROLEUM,Andhra Pradesh,BPCL,2019-09,1932.0,,1932.0,1491.63,2025-03,,2025-10,82.4,ongoing_census,2025-03
N16000535,24 HP TRIJET UNIT IN VR (HPCL),PETROLEUM,Andhra Pradesh,N.A.) (N.A.,2024-07,193.0,,193.0,0.38,,,2027-07,16.0,ongoing_census,2025-03
N16000538,25 CONSTRUCTION OF AVIATION FUEL FARM FACILITIES AT BHOGAPURAM AIRPORT,PETROLEUM,Andhra Pradesh,HPCL,,240.0,,240.0,10.01,2026-03,,2026-03,20.2,ongoing_census,2025-03
N16000539,26 VISAKHA RAIPUR PIPELINE PROJECT,PETROLEUM,Andhra Pradesh,N.A.) (N.A.,2024-09,2212.0,,2212.0,2.18,,,2027-09,2.45,ongoing_census,2025-03
N18000380,27 TRANSMISSION SCHEME FOR SOLAR ENERGY ZONE IN ANANTHPURAM (2500MW) AND KURNOOL (1000MW),POWER,Andhra Pradesh,PGCIL,,1249.0,,1249.0,340.81,2025-03,,2025-09,52.0,ongoing_census,2025-03
N18000395,28 AUGMENTATION OF 1500MVA 3RD 765/400KV TRANSFORMATION CAPACITY AT KURNOOL NEW SUBSTATION,POWER,Andhra Pradesh,PGCIL,2023-05,164.0,,164.0,66.0,2025-09,,2025-09,15.0,ongoing_census,2025-03
220100265,29 KOTLPALLI-NARASAPUR (NL) (SCR),RAILWAYS,Andhra Pradesh,N.A.) (N.A.,2001-12,1045.2,,2500.98,1150.84,,,2027-03,0.0,ongoing_census,2025-03
N22000286,30 NADIKUDE-SRI KALAHASTI (SCR),RAILWAYS,Andhra Pradesh,N.A.) (N.A.,2011-04,2288.7,,3122.35,1919.57,,,2027-05,0.0,ongoing_census,2025-03
N22000368,31 GUNTUR-GUNTAKAL (SCR),RAILWAYS,Andhra Pradesh,N.A.) (N.A.,2016-04,3631.0,,3887.48,3449.46,,,2025-12,0.0,ongoing_census,2025-03
N22000369,32 VIJAYAWADA-GUDUR (RVNL),RAILWAYS,Andhra Pradesh,N.A.) (N.A.,2015-04,3246.26,,6238.67,5883.89,,,2024-12,0.0,ongoing_census,2025-03
N22000377,33 KOTTAVALSA - KORAPUT DOUBLING (ECOR),RAILWAYS,Andhra Pradesh,N.A.) (N.A.,2015-04,2499.71,,2499.71,1900.38,,,2022-03,69.5,ongoing_census,2025-03
N22000555,"34 PENUKONDA-DHARMAVARAM, EXCL. DHARMAVARAM (41.5 KM)",RAILWAYS,Andhra Pradesh,SWR,,294.67,307.66,307.66,197.19,2026-03,,2025-12,41.0,ongoing_census,2025-03
N22000556,35 MALUGUR-PALASAMUDRAM (17.98 KM) (PB#29/NR/2022-23),RAILWAYS,Andhra Pradesh,SWR,2022-09,323.14,342.41,342.41,46.89,2025-12,,2026-12,12.0,ongoing_census,2025-03
N22000585,36 DOUBLING BETWEEN GOOTY- PENDAKALLU (29.225),RAILWAYS,Andhra Pradesh,N.A.) (N.A.,2023-03,351.83,,351.83,,2027-03,,2027-03,0.0,ongoing_census,2025-03
