project_code,project_name,sector,state,agency,original_cost,original_doc,expenditure,event,completion_month,report_month
N06000088,KARMA OCP (1.0MTY),,Jharkhand,CCL,162.46,2014-03,95.92,completed,2024-08,2024-08
N24000549,24-LANNING OF VARANASI GORAKHPUR SECTION,ROAD TRANSPORT AND HIGHWAYS,Uttar Pradesh,NHAI,1396.74,2019-10,3986.5,completed,2024-08,2024-08
N24000662,CONSTRUCTION OF PARTIALLY ACESS,ROAD TRANSPORT AND HIGHWAYS,Punjab,NHAI,754.54,2020-03,800.29,completed,2024-08,2024-08
N24000691,SIX-LANNING OF GREENFIELD PROPOSED,ROAD TRANSPORT AND HIGHWAYS,Rajasthan,NHAI,894.0,2020-04,1082.77,completed,2024-08,2024-08
N24000711,FOUR LANING OF DANGIAWAS (KM 96.595 TO NH,ROAD TRANSPORT AND HIGHWAYS,Rajasthan,NHAI,1308.73,2020-12,1308.73,completed,2024-08,2024-08
N24000944,CONSTRUCTION OF 2 LANING OF EXISTING HUNLI,ROAD TRANSPORT AND HIGHWAYS,Arunachal Pradesh,NHIDCL,200.44,2020-01,161.25,completed,2024-08,2024-08
N24001300,76-LANING OF VIJAYAWADA BYPASS FROM CHINNA,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,NHAI,1226.88,2021-02,1438.66,completed,2024-08,2024-08
N24001333,6 of 238 8TWO- LANE WITH PAVED SHOULDER,ROAD TRANSPORT AND HIGHWAYS,Assam,NHIDCL,761.54,2023-05,430.31,completed,2024-08,2024-08
N24001409,L+PS OF RAS-BEAWAR SECTION (KM 0.00 TO KM,ROAD TRANSPORT AND HIGHWAYS,Rajasthan,MoRTH,319.09,2024-03,138.67,completed,2024-08,2024-08
N24001412,L+PS OF NH -58 FROM BEAWAR-GOMTI (OLD CH,ROAD TRANSPORT AND HIGHWAYS,Rajasthan,MoRTH,339.65,2023-10,207.23,completed,2024-08,2024-08
N24001413,L+PS FROM KM 148/170 TO 211 /100 (DEVAL,ROAD TRANSPORT AND HIGHWAYS,Rajasthan,MoRTH,240.99,2024-01,233.39,completed,2024-08,2024-08
N24001460,CONSTRUCTION OF 4 LANE ELEVATED VIADUCT AT,ROAD TRANSPORT AND HIGHWAYS,Uttar Pradesh,MoRTH,170.6,2024-09,153.26,completed,2024-08,2024-08
N24001531,UPGRADATION AND REHABILITATION TO TWO,ROAD TRANSPORT AND HIGHWAYS,Rajasthan,MoRTH,304.87,2024-08,289.31,completed,2024-08,2024-08
N24001560,SANGARIYA (NEAR CHAUTALA)-RASISAR (NEAR,ROAD TRANSPORT AND HIGHWAYS,Rajasthan,NHAI,755.16,2023-10,755.16,completed,2024-08,2024-08
N24001562,7 of 238 15SANGARIYA (NEAR CHAUTALA)-RASISAR (NEAR,ROAD TRANSPORT AND HIGHWAYS,Rajasthan,NHAI,738.9,2023-10,738.9,completed,2024-08,2024-08
N24001572,DELHI-VADODARA GREENFIELD ALIGNMENT (NH,ROAD TRANSPORT AND HIGHWAYS,Rajasthan,NHAI,952.57,2023-01,952.57,completed,2024-08,2024-08
N06000122,2024 1AMRITDHARA OC PROJECT,,Madhya Pradesh,SECL,481.6,2023-03,0.0,frozen,2024-08,2024-08
N06000124,RAJNAGAR OCP RPR (1.70 MTY),,Madhya Pradesh,SECL,357.8,2021-03,81.25,frozen,2024-08,2024-08
N06000134,BATURA HIGHWALL PROJECT,,Madhya Pradesh,SECL,231.92,2022-03,2.75,frozen,2024-08,2024-08
N06000136,DURGAPUR OPENCAST PROJECT,,Chhattisgarh,SECL,916.24,2023-03,19.54,frozen,2024-08,2024-08
N06000158,VIJAY WEST OPENCAST PROJECT,,Chhattisgarh,SECL,976.95,2026-03,0.0,frozen,2024-08,2024-08
N06000172,TILABONI UG MINE,,West Bengal,ECL,916.62,2027-03,12.79,frozen,2024-08,2024-08
N06000185,PARASEA- BELBAID REORGANISATION,,West Bengal,ECL,826.42,2027-03,4.47,frozen,2024-08,2024-08
N06000207,BATURA WEST OC PROJECT (0.80 MTY),,Madhya Pradesh,SECL,496.28,2028-03,0.0,frozen,2024-08,2024-08
N06000076,KARTALI (EAST) OCP (2.50 MTY),,Chhattisgarh,SECL,178.44,2014-03,15.92,frozen,2024-08,2024-08
N06000140,MADANNAGAR OPENCAST PROJECT,,Chhattisgarh,SECL,1875.32,2024-03,0.0,frozen,2024-08,2024-08
N06000143,11 of 238 2024 11HURA - C OC (3 MTY),,Jharkhand,ECL,359.69,2022-03,330.22,frozen,2024-08,2024-08
N26000101,NETWORK FOR SPECTRUM,TELECOMMUNICATIONS,,DOT,13334.0,2015-07,22626.69,frozen,2024-08,2024-08
