project_code,project_name,sector,state,agency,original_cost,original_doc,expenditure,event,completion_month,report_month
N06000162,DUDHICHUA EXPANSION OCP (10 TO 20 MTPA),,Madhya Pradesh,NCL,1255.17,2022-03,1254.21,completed,2025-03,2025-03
N06000126,MADHUBAND NLW WASHERY,,Jharkhand,BCCL,289.45,2014-05,300.01,completed,2025-03,2025-03
N12000103,CONSTRUCTION OF INTERNATIONAL CENTRE FOR,DONER,Meghalaya,,151.33,2017-09,148.33,completed,2025-03,2025-03
N16000489,"CGD PROJECT AT JHUNJHUNU, SIKAR AND NAGAUR",PETROLEUM,Rajasthan,IOCL,575.0,2030-03,124.37,completed,2025-03,2025-03
N16000502,UPGRADING IPSHEM TO WORLD CLASS FACILITY OF,PETROLEUM,Goa,ONGC,325.53,2024-06,304.19,completed,2025-03,2025-03
N16000490,"CGD PROJECT AT MADURAI, THENI AND VIRUDHNAGAR",PETROLEUM,Tamil Nadu,IOCL,1328.0,2030-03,149.21,completed,2025-03,2025-03
N16000436,PIPELINE REPLACEMENT PROJECT - VII,PETROLEUM,Maharashtra,ONGC,3183.58,2024-05,3417.0,completed,2025-03,2025-03
N16000405,SETTING UP LUBE COMPLEX AT VILLAGES AMULLAVOYAL,PETROLEUM,Tamil Nadu,,1398.0,2023-12,1303.66,completed,2025-03,2025-03
N16000235,VISAKH REFINERY MODERNISATION PROJECT,PETROLEUM,Andhra Pradesh,HPCL,20928.0,2020-07,28002.0,completed,2025-03,2025-03
N16000362,Fuel Quality Upgradation Project at Paradip Refinery,PETROLEUM,Odisha,IOCL,3361.0,2021-08,2727.6,completed,2025-03,2025-03
N16000368,INSTALLATION OF STANDBY SRU TRAIN OF 525 TPD,PETROLEUM,Odisha,IOCL,427.1,2022-09,312.13,completed,2025-03,2025-03
N16000492,"CGD PROJECT AT KANYAKUMARI, TUTICORIN, TIRUNVELI",PETROLEUM,Tamil Nadu,IOCL,1295.0,2030-03,145.61,completed,2025-03,2025-03
