project_code,project_name,sector,state,agency,original_cost,original_doc,expenditure,event,completion_month,report_month
N16000239,DEVELOPMENT PLAN OF CBM - BOKARO BLOCK,PETROLEUM,Jharkhand,ONGC,823.27,2023-03,1067.89,completed,2025-03,2025-03
N16000378,SWRO II WITH LLPH FACILITIES,PETROLEUM,Andhra Pradesh,HPCL,196.26,2020-07,196.26,completed,2025-03,2025-03
N18000212,TELANGANA SUPER THERMAL POWER PROJECT PHASE I,POWER,Telangana,NTPC,10598.98,2020-11,10437.71,completed,2025-03,2025-03
N18000294,CHHATTARGARH 150 MW,POWER,Rajasthan,NTPC,599.99,2022-07,599.99,completed,2025-03,2025-03
N18000264,HVDC BIPOLE LINK BETWEEN WR AND SR -NORTH,POWER,,,1931.39,2020-02,1972.44,completed,2025-03,2025-03
N18000372,TRANSMISSION SYSTEM FOR EVACUATION OF POWER,POWER,Rajasthan,MULTI STATE,202.39,2025-01,20.04,completed,2025-03,2025-03
N18000292,ANTA SOLAR 90 MW,POWER,Rajasthan,NTPC,382.22,2022-03,497.17,completed,2025-03,2025-03
N18000277,DURGAPUR PP-III (2X20 MW) - NSPCL,POWER,West Bengal,NTPC,529.68,2018-11,558.39,completed,2025-03,2025-03
N24001569,DELHI-VADODARA GREENFIELD ALIGNMENT (NH-148N),ROAD TRANSPORT AND HIGHWAYS,Rajasthan,NHAI,1425.02,2023-03,1420.03,completed,2025-03,2025-03
N24000756,CONSTRUCTION OF TWO LANE WITH HARD SHOULDERS,ROAD TRANSPORT AND HIGHWAYS,Nagaland,,285.68,2022-09,193.9,completed,2025-03,2025-03
N24000835,CONSTRUCTION OF 8 LANE DWARKA EXPRESSWAY (NH,ROAD TRANSPORT AND HIGHWAYS,Haryana,NHAI,1484.3,2020-12,1376.15,completed,2025-03,2025-03
N24001374,4-LANING OF ITANAGAR TO BANDARDEWA SECTION OF NH,ROAD TRANSPORT AND HIGHWAYS,Arunachal Pradesh,MoRTH,437.6,2027-03,366.59,completed,2025-03,2025-03
N24001372,BALANCE WORK 2-LANING OF LALPUL MANMAO,ROAD TRANSPORT AND HIGHWAYS,Arunachal Pradesh,MoRTH,588.09,2024-03,497.36,completed,2025-03,2025-03
N24001501,PATAS-VASUNDE PHATA - BARAMATI BYPASS,ROAD TRANSPORT AND HIGHWAYS,Maharashtra,NHAI,531.86,2023-09,520.71,completed,2025-03,2025-03
N24001778,DEVELOPMENT OF 4L UER II [PACKAGE - V] (SPUR TO,ROAD TRANSPORT AND HIGHWAYS,Delhi,,801.46,2023-10,473.76,completed,2025-03,2025-03
N24001378,WAKHARI TO KHUDUS PACKAGE2 SANT DNYANESHWAR,ROAD TRANSPORT AND HIGHWAYS,Maharashtra,NHAI,362.46,2022-01,352.01,completed,2025-03,2025-03
N24001377,MOHOL TO WAKHARI PACKAGE1 SANT DNYANESHWAR,ROAD TRANSPORT AND HIGHWAYS,Maharashtra,NHAI,731.89,2022-01,692.21,completed,2025-03,2025-03
N24001758,L OF SUHAGADI TO BARDIYA AMRA FROM KM. 89.200 TO,ROAD TRANSPORT AND HIGHWAYS,Madhya Pradesh,NHAI,823.05,2024-10,402.85,completed,2025-03,2025-03
N24001352,IMPHAL ? MOREH PACKAGE- 3,ROAD TRANSPORT AND HIGHWAYS,Manipur,NHIDCL,259.31,2022-12,144.94,completed,2025-03,2025-03
N24000892,L+PS OF THIKRI ANJAD SECTION OF NH-347B,ROAD TRANSPORT AND HIGHWAYS,Madhya Pradesh,MoRTH,249.05,2018-07,221.19,completed,2025-03,2025-03
N24000556,FOUR LANNING OF RAMPUR- KATHGODAM SECTION OF,ROAD TRANSPORT AND HIGHWAYS,Uttar Pradesh,NHAI,899.0,2019-04,1143.5,completed,2025-03,2025-03
N24001756,L OF UJJAIN TO BADNAWAR FROM KM 26.900 TO KM 96.00,ROAD TRANSPORT AND HIGHWAYS,Madhya Pradesh,NHAI,1352.56,2024-10,843.65,completed,2025-03,2025-03
N24001241,UP-GRADATION TO TWO LANING WITH PAVED SHOULDER,ROAD TRANSPORT AND HIGHWAYS,Rajasthan,MoRTH,255.23,2022-10,256.0,completed,2025-03,2025-03
N24001561,DEOGARH (NEAR DHANDHANIYA)-RAJASTHAN/GUJARAT,ROAD TRANSPORT AND HIGHWAYS,Rajasthan,NHAI,839.63,2023-10,839.63,completed,2025-03,2025-03
N24001291,CONSTRUCTION OF 2 LANE ROAD OF POTIN TO PANGIN,ROAD TRANSPORT AND HIGHWAYS,Arunachal Pradesh,MoRTH,421.48,2027-03,365.83,completed,2025-03,2025-03
N24000559,FOUR LANNING OF RAMPUR- KATHGODAM SECTION OF,ROAD TRANSPORT AND HIGHWAYS,Uttarakhand,,720.0,2019-10,672.33,completed,2025-03,2025-03
N24000885,CONSTRUCTION OF ROB AND ITS APPROACHES IN LIEU,ROAD TRANSPORT AND HIGHWAYS,West Bengal,MoRTH,160.27,2023-09,174.36,completed,2025-03,2025-03
N24000685,CONSTRUCTION OF TWO LANE WITH PAVED SHOULDERS,ROAD TRANSPORT AND HIGHWAYS,Arunachal Pradesh,,167.28,2022-04,145.2,completed,2025-03,2025-03
N24001292,CONSTRUCTION OF 2 LANE ROAD OF POTIN TO PANGIN,ROAD TRANSPORT AND HIGHWAYS,Arunachal Pradesh,MoRTH,543.05,2027-03,588.85,completed,2025-03,2025-03
N24001571,DELHI-VADODARA GREENFIELD ALIGNMENT (NH-148N),ROAD TRANSPORT AND HIGHWAYS,Rajasthan,NHAI,1341.36,2023-12,1089.73,completed,2025-03,2025-03
N24000887,CONSTRUCTION OF TWINS 2-LANE ROB AND ITS,ROAD TRANSPORT AND HIGHWAYS,West Bengal,MoRTH,236.78,2021-09,232.54,completed,2025-03,2025-03
N24001185,SIX LANING OF CHAKERI TO ALLAHABAD SECTION OF NH-2,ROAD TRANSPORT AND HIGHWAYS,Uttar Pradesh,NHAI,2159.0,2021-07,3110.5,completed,2025-03,2025-03
N24001604,REMAINING WORK OF 2L+PS OF TRICHY - KARAIKUDI,ROAD TRANSPORT AND HIGHWAYS,Tamil Nadu,NHAI,166.9,2021-03,121.94,completed,2025-03,2025-03
N24001566,DELHI-VADODARA GREENFIELD ALIGNMENT (NH-148N),ROAD TRANSPORT AND HIGHWAYS,Rajasthan,NHAI,1640.1,2023-05,1248.59,completed,2025-03,2025-03
N24001432,"L FLYOVER AT BORAGAON, GORCHUK, LOKHRA AND",ROAD TRANSPORT AND HIGHWAYS,Assam,NHAI,300.0,2024-08,439.65,completed,2025-03,2025-03
N24001780,DWARKA EXPRESSWAY PKG-III (DELHI/HR BORDER TO,ROAD TRANSPORT AND HIGHWAYS,Haryana,NHAI,2228.0,2020-11,1628.6,completed,2025-03,2025-03
N24001248,WIDENING/IMPROVEMENT TO 4-LANE WITH PAVED,ROAD TRANSPORT AND HIGHWAYS,Assam,NHIDCL,208.84,2022-04,193.59,completed,2025-03,2025-03
N24001293,CONSTRUCTION OF 2 LANE ROAD OF POTIN TO PANGIN,ROAD TRANSPORT AND HIGHWAYS,Arunachal Pradesh,,486.7,2027-03,480.44,completed,2025-03,2025-03
N24001761,L OF HARDA - BETUL (PKG-II) FROM KM. 30.00 TO KM.81.00,ROAD TRANSPORT AND HIGHWAYS,Madhya Pradesh,NHAI,520.28,2025-02,392.86,completed,2025-03,2025-03
N24001355,DULTE- KWALKULH - CHAMPAI PKG.1,ROAD TRANSPORT AND HIGHWAYS,Mizoram,NHIDCL,374.39,2022-12,286.49,completed,2025-03,2025-03
N24001463,ALLAHGANJ TO MIRANPUR KATRA SECTION OF NH-730C,ROAD TRANSPORT AND HIGHWAYS,Uttar Pradesh,MoRTH,294.84,2024-07,303.27,completed,2025-03,2025-03
N24001379,KHUDUS TO DHARAMPURI PACKAGE 3 SANT,ROAD TRANSPORT AND HIGHWAYS,Maharashtra,NHAI,594.75,2022-01,585.2,completed,2025-03,2025-03
N24001342,DONIPAWA TO ASHAJIPORA BYPASS PKG-7,ROAD TRANSPORT AND HIGHWAYS,Jammu And Kashmir,NHIDCL,260.4,2022-12,191.88,completed,2025-03,2025-03
N24001933,MULAKALACHERUVU TO MADANAPALLE SECTION OF NH42,ROAD TRANSPORT AND HIGHWAYS,Andhra Pradesh,MoRTH,480.1,2024-12,443.87,completed,2025-03,2025-03
N24000655,CONSTRUCTION OF NEW 4-LANE BRIDGE ACROSS,ROAD TRANSPORT AND HIGHWAYS,Maharashtra,,247.02,2020-03,93.29,completed,2025-03,2025-03
N30000037,SEWERAGE SYSTEM WITH SEWER NETWORK PATNA,WATER RESOURCES,Bihar,BUIDCO,225.77,2020-03,363.79,completed,2025-03,2025-03
N30000045,"INTERCEPTION, DIVERSION AND TREATMENT WORKS AT",WATER RESOURCES,West Bengal,KMDA,185.22,2021-12,49.99,completed,2025-03,2025-03
N30000028,I AND D AND STP AT CHAPPRA,WATER RESOURCES,Bihar,BUIDCO,236.15,2020-12,150.75,completed,2025-03,2025-03
N30000016,REHABILITATION AND UPGRADATION OF KONDLI PHASE I,WATER RESOURCES,Delhi,DJB,239.11,2022-02,268.13,completed,2025-03,2025-03
N30000008,FARRUKHABAD I AND D AND STP WORKS HAM,WATER RESOURCES,Uttar Pradesh,UPJalNigam,213.62,2022-03,177.62,completed,2025-03,2025-03
N30000015,REHABILITATION AND UP-GRADATION OF PHASE I STP 182,WATER RESOURCES,Delhi,DJB,211.79,2021-12,208.71,completed,2025-03,2025-03
N30000048,"INTERCEPTION, DIVERSION AND TREATMENT WORKS AT",WATER RESOURCES,West Bengal,KMDA,172.1,2021-12,47.2,completed,2025-03,2025-03
N30000049,INTERCEPTION AND DIVERSION WITH STP AT BALLY,WATER RESOURCES,West Bengal,KMDA,164.93,2021-12,45.45,completed,2025-03,2025-03
N30000025,INTERCEPTION AND DIVERSION WORKS WITH STP AT,WATER RESOURCES,Uttar Pradesh,UPJalNigam,298.12,2021-07,103.24,completed,2025-03,2025-03
N30000046,SEWERAGE SYSTEM AND STP WORKS AT HALISHAHR,WATER RESOURCES,West Bengal,KMDA,274.76,2019-12,278.33,completed,2025-03,2025-03
N30000013,INTERCEPTION AND DIVERSION WORKS WITH STP AT,WATER RESOURCES,Uttar Pradesh,UPJalNigam,271.39,2021-08,182.26,completed,2025-03,2025-03
N30000017,CONSTRUCTION OF 318 MLD WWTP WITH 10 YEARS O AND,WATER RESOURCES,Delhi,DJB,515.07,2021-01,388.08,completed,2025-03,2025-03
N30000040,SEWERAGE SCHEME AT PAHARI ZONE V PATNA,WATER RESOURCES,Bihar,BUIDCO,356.37,2021-04,312.3,completed,2025-03,2025-03
N30000004,INTERCEPTION AND DIVERSION WITH STP AT RISHIKESH,WATER RESOURCES,Uttarakhand,UKJalNigam,158.0,2019-11,107.86,completed,2025-03,2025-03
N30000006,"INTERCEPTION, DIVERSION AND TREATMENT WORKS FOR",WATER RESOURCES,Uttar Pradesh,,767.59,2021-09,276.97,completed,2025-03,2025-03
N30000010,STP AT PANKHA KANPUR AND INTEGRATION WITH,WATER RESOURCES,Uttar Pradesh,UPJalNigam,967.23,2021-09,254.98,completed,2025-03,2025-03
N30000047,SEWERAGE SYSTEM WITH SEWER NETWORK AT,WATER RESOURCES,West Bengal,KMDA,272.32,2020-04,307.73,completed,2025-03,2025-03
N30000043,SEWERAGE TREATMENT PLANT AT PAHARI PATNA,WATER RESOURCES,Bihar,BUIDCO,191.62,2020-11,124.4,completed,2025-03,2025-03
N30000022,INTERCEPTION AND DIVERSION WORKS AND SEWAGE,WATER RESOURCES,Uttar Pradesh,UPJalNigam,206.05,2021-10,140.22,completed,2025-03,2025-03
N30000019,MATHURA SEWERAGE SCHEME,WATER RESOURCES,Uttar Pradesh,UPJalNigam,460.45,2020-12,315.3,completed,2025-03,2025-03
